category,definition,terms
, Henderson Gulf of Mexico leasing area,HE
, Henry Hub,HH
, Hex Diplog,HEXT 
, hexanes,C6 
, High (Specific-)Gravity Solids,HGS 
, High Integrity Pressure Protection System,HIPPS 
, High Island Area Gulf of Mexico leasing area,HI
, High Performance Water Base Mud,HPWBM 
, High pressure,HP
, High Pressure Gauge,HPGAG 
," High pressure, high temperature",HPHT
, High Resolution Dipmeter Log,HDT 
, High temperature,HT
, High Temperature High Pressure (same as HPHT),HTHP 
, High Voltage Direct Current,HVDC 
, High-consequence areas,HCA
, High-pressure and/or intermediate pressure,HP/IP
, High-pressure unit,HPU
, Hold Up Depth,HUD 
, Hook Load,HL 
, Horizontal Clamp Connection System,HCCS 
, Horizontal Connection Module. To connect the Xmas Tree to the Manifold,HCM 
, Horizontal directional drilling,HDD
, Horizontal pumping unit,HPU
, Horsepower,hp
, Hot work permit,HWP
, Howell Hook Gulf of Mexico leasing area,HH
, HP Pressure Log,HPPS 
, HRCC Calliper (in Logs)(in Inches),HCAL 
, Human Factors Engineering,HFE 
, Hydraulic flying lead,HFL
, Hydraulic Horsepower,HHP 
, Hydraulic Power Unit,HPU 
, Hydrocarbons,HC 
, Hydrofluorocarbons,HFC
, Hydrogen induced stress cracking,HISC 
, Hydrogen sulfide,H2S
, Hydrophone Log,HYROP 
, Hydrostatic Pressure,HP 
, Hydroxyethylcellulose,HEC
, Hydroxyl propyl guar,HPG
, Hyperjet,HYPJ 
, IDEL Log,IDEL 
, Image Analysis Report,IMAG 
, Image Logs,ILOGS 
, Immediately dangerous to life or health,IDLH
, IMO's International Safety Management (code),ISM
, Impact producing factors,IPF
, Improved oil recovery,IOR
, Incident Command System,ICS
, Incident commander,IC
, Incline Report,INCR 
, Incline Report,INCRE 
, Inclinometry Tool Log,GPIT 
, IND RES Sonic Log,INDRS 
, Independent oil company,IOC
, Independent Petroleum Association of America,IPAA
, Independent third party,I3P
, Individual Well Record Report,INDWE 
, INDT Log,INDT 
, Induction Electrical Log,IEL 
, Induction Electro BHC Log,IEB 
, Induction Log,IL 
, Inflatable bridge plug,IBP
, Inflow Control Device,ICD 
, Inflow performance relationship,IPR
, Influx To Surface,ITS 
, Information collection,IC
, Information management,IM
, Initial exploration plan,IEP
, Initial exploration plan and development operations coordination documents,IEP/DOCD
, Initial public offering,IPO
, Injection Falloff Log,INJEC 
, Injection Log,IJL 
, Injector To Producer Ratio,I:P 
, In-line inspection (platforms for natural gas pipelines),ILI
, Inner or Internal Diameter (of a tubular component such as a casing),ID 
, Inrun Survey Report,INSUR 
, Inside blowout preventer,IBOP
, Inspection and test plan,ITP
, Inspection release certificate,IRC
, Inspection report,IR
, Inspection Test Record,ITR 
, Installation/Workover control system,IWOCS
, Installed Production Capacity,IPC 
, Institute of Electrical and Electronics Engineers,IEEE
, Instrument Utility Gas,IUG 
, Intangible Drilling Costs,IDC 
, Integrated Cement Volume (of Borehole)(in Cubic Metres),ICV 
, Integrated Commissioning and Start Up,ICSU 
, Integrated Hole Volume (of Borehole) (in Cubic Metres),IHV 
, Integrity operating windows,IOW
, Intellectual property,IP
, Intercontinental Exchange,ICE
, Intergovernmental Panel on Climate Change,IPCC
, Intermediate Bulk Container,IBC 
, Intermediate Casing Point,ICP 
, Intermediate metal conduit,IMT
, Intermediate pressure,IP
, Internal Active Turret,IAT 
, Internal Flush tool joint,IF 
, Internal Turret Disconnectable,ITD 
, International Alliance for Well Control,IAWC
, International Association of Drilling Contractors,IADC
, International Association of Oil & Gas Producers,OGP
, International Convention for the Prevention of Pollution from Ships,MARPOL
, International Energy Agency,IEA
, International Liquid Terminals Association,ILTA
, International Marine Contractors Association,IMCA 
, International Marine Organization,IMO
, International Maritime Dangerous Goods (code),IMDG
, International Monetary Fund,IMF
, International Oil Company,IOC 
, International Petroleum Exchange,IPE
," International Standards Organization (formally, International Organization for Standardization)",ISO
, International Well Control Forum,IWCF
, International Well Control Forum Blowout Prevention & Well Control certification,IWCF certification
, Internet protocol,IP
, Interpretation Report,IR 
, Interstate Natural Gas Association of America,INGAA
, Interval Control Valve,ICV 
, Interval pressure transient test,IPTT
, Intervention and Coiled Tubing Association,ICoTA
, Inventory management,IM
, Inventory Update Reporting,IUR
, Investigative Program Report,INVES 
, Invitation to tender,ITT
, IPLS Log,IPLS 
, IRTJ Gamma Ray Slimhole Log,IRTJ 
, ISF BHC GR Log,ISFBG 
, ISF Conductivity Log,ISFCD 
, ISF GR Casing Collar Locator Log,ISFGR 
, ISF SLS MSFL Log,ISFSL 
, ISF Sonic Log,ISF 
, ISF Sonic True Vertical Depth Playback Log,ISFP 
, ISF True Vertical Depth Playback Log,ISFPB 
, ISF-LSS Log,ISFL 
, ISNetworld,ISN
, J Lay Tower,JLT 
, Jackup,JU
, Jack-Up drilling rig,JU 
, Job hazard analysis,JHA
," Job safety analysis. Reviews site-specific detailed job hazards. In the final CFR 30 Part 250 subpart S rule, BSEE replaced references to JHAs with references to JSAs.",JSA
, Job safety plan,JSP
, Joint industry project,JIP
, Joint industry task force,JITF
, Joint Interest Billing,JIB 
, Joint venture,JV
, Joint Venture Partners/Participants,JVP 
, Joule,J
, Joule-Thomson (effect/valve/separator),JT 
, Junk Basket,JB 
, Junked and Abandoned,J&A 
, Just in time,JIT
, Keathley Canyon Gulf of Mexico leasing area,KC
, Kelly bushing,KB
," Kelly Bushing Elevation (in meters above sea level, or meters above Ground Level)",KBE 
, Kelly Bushing Height above Ground Level,KBG 
, Kelly Down,KD 
, Key performance indicator,KPI
, Key West Gulf of Mexico leasing area,KW
, Kick Off Plug,KOP 
, Kick-Off Point Directional Drilling,KOP 
, Kill Mud Weight,KMW 
, Kill Rate Pressure,KRP 
, Kingdom of Saudi Arabia,KSA
, Land Surface Datum,LSD 
," Last in, first out",LIFO
, Laterolog,LL 
, Launch & Recovery System,LARS 
," Lay Down (tubing, rods, etc.)",LD 
, Layers of protection analysis,LOPA
, Lazy-wave catenary riser,LWR
, LDT CNL Gamma Ray Log,LCNLG 
, LDT EPT Gamma Ray Log,LDTEP 
, Lead Impression Tool,LIT 
, Leak Detection Log,LEAKL 
, Leak-Off Test,LOT 
, Lease Automatic Custody Transfer,LACT 
, Lease Operating Expenses,LOE 
, Lethal dose,LD
, Lethal dose (low),LCL
, Letter of Authorisation/Agreement/Authority,LOA 
, Level control valve,LCV
, Level safety high (sensor),LSH
, Level safety low (sensor),LSL
, Lifting Equipment Engineers Association,LEEA
, Lifting Operations and Lifting Equipment Regulations,LOLER 
, Limited partnership,LP
, Lincolnshire Offshore Gas Gathering System,LOGGS
, Linear Activation Override Tool,LAOT 
, Linear Override Tool,LOT 
, Linear Time or Lag Time,LT 
, Linear Valve Override Tool,LVOT 
, Linear Velocity Log,LVEL 
, Liner and Completion Progress Report,LINCO 
, Liquefied natural gas,LNG
, Liquefied Natural Gas,LNG 
, Liquefied petroleum gas,LPG
, Liquid Gas Ratio,LGR 
, Liquid penetrant,LP
, Litho Density Log,LDL 
, Litho Density Quicklook Log,LITDE 
, Litho-Elastic Property Report,LEPRE 
, Lithography Log,LIOG 
, Lithological Description Report,LITHR 
, Lithostratigraphic Log,LITST 
, Lithostratigraphy Report,LITRE 
, Litres Per Hour,LPH 
, Living quarters,LQ
, Lloyd Gulf of Mexico leasing area,LL
, Load and resistance factor design,LFRD
, Location Map,LMAP 
, Lock Open Tool,LOT 
, Lock Out / Tag Out,LOTO 
, Lock out tag out,LOTO
, Log ASCII Standard,LAS 
, Log Restoration Report,LOGRS 
, Log Sample,LOGSM 
, Logging Well on Paper,LWOP 
, Logging while drilling,LWD
, Logging Whilst Drilling,LOGGN 
, London Interbank Offered Rate,LIBOR
, Long Spacing BHC GR Log,LSBGR 
, Long Spacing Sonic Log,LSSON 
, Lookahead,LAH 
, Lost Circulation Material,LCM 
, Lost Time Incident (Frequency Rate),LTI(FR) 
, Lost time incident rate,LTIR
, Louisiana,LA
, Louisiana Mid-Continent Oil and Gas Association,LMOGA
, Low (specific-)Gravity Solids,LGS 
, Low Pressure,LP 
, Low Pressure Well Head Housing,LPWHH 
, Lower explosive limit,LEL
, Lower flammable limit,LFL
, Lower marine riser package,LMRP
, Lower Master Valve (on a Xmas tree),LMV 
, Lower Riser Package,LRP 
, Lowest Astronomical Tide,LAT 
, Lowest Known Oil,LKO 
, Luminescence Log,LUMI 
, Lund Gulf of Mexico leasing area,LU
, Magna Range Bridge Plug,MRBP 
, Magnelog,MGL 
, Magnetic particle,MP
, Magnetic particle inspection,MPI
, Magnetic Resonance Image Log,NUMAR 
, Magnetic Resonance Image Report,MRIRE 
, Magnetic Single Shot,MSS 
, Magnetostratigraphic Report,MAGST 
, Magnetotellurics,MT
, Main Cryogenic Heat Exchanger,MCHE 
, Main Pass Area Gulf of Mexico leasing area,MP
, Major hazards analysis,MHA
, Managed Pressure Drilling,MPD 
, Management of Change,MOC
, Management system coordinator,MSC
, Manifold & Connection System,MCS 
, Manifold Choke Module,MCM 
, Manifold compression platform,MCP
, Manufacturing Procedure Qualification Test,MPQT 
, Manufacturing Procedure Specification,MPS 
, Maralog,MARA 
, Marine Loading Facility,MLF 
, Marine mammal observer,MMO
, Marine Offloading Facility,MOF 
, Marine Riser,MR 
, Marine Spill Response Corporation,MSRC
, Marine Warranty Survey,MWS 
," Marine Well Containment Co. Partners in the nonprofit include BP, BHP Billiton, Apache Corp., Anadarko Petroleum, and Statoil.",MWCC
, Maritime Transportation System Recovery Unit,MTSRU
, Marqesas Gulf of Mexico leasing area,MQ
, Marsh Funnel (mud viscosity),MF 
, Mass spectrometry,MS
, Master Control Station,MCS 
, Master service agreement,MSA
, Master services contract,MSC
, Master Valve Block on Xmas Tree,MVB 
, Matagorda Island Area Gulf of Mexico leasing area,MI
, Material Receipt Report,MRR 
, Material Safety Data Sheets,MSDS
, Material Take Off,MTO 
, Material test reports,MTR
, Materials/Marine Offloading Terminal,MOT 
, Matrix Permeability in the X-Direction,XPERM 
, Maximum Acceptable (or Allowable) Annular Surface Pressure,MAASP 
, Maximum allowable operating pressure,MAOP
, Maximum allowable surface pressure,MASP
, Maximum allowable wellhead operating pressure,MAWOP
, Maximum allowable working pressure,MAWP
, Maximum anticipated surface pressure for the completion case,MASPcc
, Maximum gross weight,MGW
, Maximum Internal Yield Pressure,MIYP 
, Maximum source pressure,MSP
, Maximum Wave Height,Hmax 
, Mean sea level,MSL
, Mean Time Between Failure,MTBF 
, Mean time to failure,MTTF
, Measured depth,MD
, Measured Depth (see also MDSS),MD 
, Measured Depth Sub-Sea,MDSS 
, Measurement and regulation,M&R
, Measurement while drilling,MWD
, Measurement While Drilling Report,MWDRE 
, Measurements/Drilling Log,MD 
, Mechanical and Structural Inspection,MSI 
, Mechanical Completion Dossier,MCD 
, Mechanical earth model,MEM
, Mechanical Electrical Instrumentation Commission,MEIC 
, Mechanical integrity,MI
, Mechanical Properties Log,MEPRL 
, Mechanical setting devices,MSD
, Mechanical Sidewall Coring Tool,MSCT 
, Median lethal dose,LD50
, Megajoule,MJ
, Memorandum of understanding,MOU
, Mercury Injection Study Report,MERCR 
, Merge and Playback Log,MNP 
, Merge FDC/CNL/Gamma Ray/Dual Laterolog/Micro SFL Log,MERG 
, Merged Playback Log,MPK 
, Meters below Kelly Bushing,mKB 
, methane,C1 
," Methane Drainage Licence (United Kingdom), a type of onshore licence allowing natural gas to be collected ""in the course of operations for making and keeping safe mines whether or not disused""",MDL 
," Methane hydrate (methane clathrate, or fire ice)",MH
, Methyl Diethanolamine (aMDEA),MDEA 
, Methyl tertiary butyl ether,MTBE
, Methylene Blue Test,MBT 
, metre,m 
, Metric tons,MT
, Miami Gulf of Mexico leasing area,MA
, Micro SFL Log; Micro-Spherically Focussed Log (resistivity).,MSFL 
, Micro Spherical Log,MSL 
," Micro-electrical scanning tool (a dipmeter, aka. MST or FMS).",MEST 
, Microlaterolog,MLL 
," Microlog, or Mud Log",ML 
, Micropalaeo Analysis Report,MPA 
, Micropalaeo Log,MIPAL 
, Middle East and North Africa (region),MENA
, Military warning area,MWA
," millidarcy, measure of permeability, with units of area",mD 
, Millimeters of mercury (a unit of pressure),mmHg
, million barrels of oil equivalent,MMboe 
, million barrels of oil equivalent per day,MMboed 
, million barrels of oil per day,MMbod 
, million barrels per day,MMbd 
, million barrels per day,MMbpd 
, Million btu,MMbtu
, million cubic feet (of natural gas equivalent),MMcfe 
, million cubic feet (of natural gas),MMcf 
, Million metric tons per annum,MMTA
, Million standard cubic feet,MMscf
, million standard cubic feet per day,mmscfd 
, million stock barrels,mmstb 
, Millions of Metric Tonnes per Annum,MMTPA 
," Minerals Management Service, (United States)",MMS 
, Mini Frac Log,MIFR 
, Minilog,MINL 
, Minimum Bend Radius,MBR 
, Minimum Industry Safety Training,MIST 
, Mississippi,MS
, Mississippi Canyon Gulf of Mexico leasing area,MC
, Mobile Gulf of Mexico leasing area,MO
, Mobile offshore drilling unit,MODU
, Mobile offshore production unit,MOPU
, Mobile offshore unit,MOU
, Modular formation Dynamic Tester,MDT 
, Modular Sonic Imaging Platform (Sonic Scanner),MSIP 
, Molded case circuit breaker,MCC
, Monoethanolamine,MEA 
, Mono-Ethylene Glycol,MEG 
, Month on month,MOM
, Morning Report,MR 
, Move In and Rig Up,MIRU 
, MSRC's Spill Team Area Responders network of contractors,STARS
, MST EXP Resistivity Log,MST 
, MTT Multi-Isotope Trace Tool,MTT 
, Mud Liner Hanger,MLH 
, Mud Log,MUD 
, Mud Temperature Log,MUDT 
, Mud weight,MW
, Multi Bowl Wellhead,MBWH 
, Multi Purpose Vessel,MPV 
, Multi Quick Connection Plate,MQC 
, Multi Reverse Circulating Valve,MRCV 
, Multi Stage inflatable Packer Collar,MSIPC 
, Multiarm Caliper Log,MACL 
, Multi-Bore Restriction Orifices,MBRO 
, Multifinger Calliper Tool,MFCT 
, Multilateral,ML
, Multi-Phase Flow Meter,MPFM 
, Multiphase flowmeter,MPFM
, Multiphase Pump,MPP 
, Multipole Acoustic Log,MAC 
, Mustang Island Area Gulf of Mexico leasing area,MU
, Mutual Solvent,MuSol 
, National Ambient Air Quality Standards,NAAQS
, National Association of Corrosion Engineers,NACE 
, National Geological Records Centre (United Kingdom),NGRC 
, National Geoscience Data Centre (United Kingdom),NGDC 
, National Hydrocarbons Data Archive (United Kingdom),NHDA 
, National Incident Management System,NIMS
, National Infrastructure Protection Plan,NIPP
," National Institute for Occupational Safety, a US agency working to prevent work-related injury and illness",NIOSH
